group,d_sample,theta_pool,phi_pool,ratio,fbar,c,d_pool,d_clonal,theta_clonal,phi_clonal
all,0.0046920528535057794,0.09279930115422308,0.35193246129001277,3.7924042197811008,1342.4401711484832,0.05746092911565873,0.08258131653686715,1.1974674619657442e-05,1.1974865813153077e-05,4.541353164111417e-05
boot_0,0.004642072232999018,0.09246211540453343,0.30550130767183714,3.304070065185404,1394.5080935975368,0.05701595869754451,0.08231418990289105,1.3122657705292642e-05,1.3122887314837092e-05,4.3358939145754505e-05
boot_1,0.004613228365323675,0.08995735663069594,0.3190417261097866,3.5465884954752074,1403.684834742962,0.058055218918980536,0.08032314609833893,1.2380421021983022e-05,1.238062539178951e-05,4.39089835813089e-05
boot_2,0.00457782796470801,0.09275423846600095,0.6489315985831438,6.996247387886318,1259.081113728213,0.05614290828246316,0.08254562916957336,6.752580890323011e-06,6.7526416873353e-06,4.7243151766351854e-05
boot_3,0.004829458881154297,0.1005025084108933,0.4393663460259286,4.371695323559769,1193.5938915643421,0.055176329365512713,0.08862628923811948,1.119168725917575e-05,1.119185426681949e-05,4.8927376960217206e-05
boot_4,0.004646473032403956,0.09341834567289882,0.26878392227460424,2.8772070447034253,1324.486750769988,0.05652715160547906,0.08307118242581694,1.572204236942694e-05,1.57223719531576e-05,4.52365193430726e-05
boot_5,0.0046696842893696544,0.09351210756300848,0.31519416595169597,3.3706241273550384,1524.9277830633562,0.05680654710914808,0.08314531592780665,1.1717582299983346e-05,1.17177653718235e-05,3.949618268095367e-05
boot_6,0.004825148233992772,0.09152930721118872,0.2857313511263909,3.1217471193910944,1570.8207717085284,0.05980328448556183,0.08157408163939799,1.2971253648362745e-05,1.2971477990137683e-05,4.0493674049957296e-05
boot_7,0.004801874566655617,0.0936705398410827,0.33867347997803837,3.615581596440213,1205.2954375296679,0.058303488617421795,0.08327054408471482,1.4207311430191947e-05,1.42075805655543e-05,5.1368666822759756e-05
boot_8,0.00484396112573513,0.09009291150850776,0.25215816555742837,2.7988679834552386,1959.7877420080258,0.060892467300424385,0.08043120315114875,1.1821070197662688e-05,1.1821256517533512e-05,3.308613639113611e-05
