group,sample_d,theta,phi,fbar,ratio,rho,sample_theta,sample_rho
all,0.0143264981712,0.0356933983289,0.141929527276,996.904983884,3.97635232062,141.490253102,0.000101254311567,0.401376692665
boot_0,0.0142868471685,0.0347169537257,0.134345764633,883.598369981,3.86974518833,118.707698644,0.000120353164384,0.411523640046
boot_1,0.014507036741,0.0358495437439,0.146243799634,1138.29897026,4.07937687236,166.469166529,8.71454879209e-05,0.404664473406
boot_10,0.0143205136624,0.0369613712245,0.136577094849,1074.23485904,3.69513062757,146.715876233,9.76071167626e-05,0.387445410924
boot_100,0.0143584327784,0.0354143587927,0.142092481876,1414.78034727,4.01228447219,201.029650854,7.14244526484e-05,0.40544099252
boot_101,0.0144524608262,0.0363247543044,0.154418049142,1090.37488508,4.25104180604,168.373562588,8.58356894279e-05,0.397868095819
boot_102,0.0142215272084,0.0356393982035,0.143619414086,760.077239771,4.02979346805,109.161847836,0.000130279282463,0.399039487905
boot_103,0.0140668662575,0.0341734832816,0.141413431593,906.717409152,4.1381041092,128.222020313,0.000109707101971,0.411631033969
boot_104,0.0141440173942,0.0341622427123,0.134512958618,968.61248202,3.93747447295,130.290930711,0.000108557190565,0.414024849401
boot_105,0.0142643992684,0.0348544413614,0.147154478609,999.382355794,4.2219720891,147.063589498,9.69947715615e-05,0.409256287326
boot_106,0.0143279100301,0.03686260535,0.152524830196,956.729532609,4.13765735623,145.925009505,9.81868021027e-05,0.388684139226
boot_107,0.0142233838129,0.0357068576747,0.153313257849,1047.58128032,4.293664238,160.608098948,8.85595677058e-05,0.398337595049
boot_108,0.0145393374653,0.0375751812759,0.157687065934,1182.26909269,4.1965749886,186.428544371,7.79887946578e-05,0.386939915435
boot_109,0.0142023298302,0.0344952248328,0.130585470819,791.630558524,3.78561007941,103.375449199,0.00013738590681,0.41171872046
boot_11,0.0141706910366,0.0338215977099,0.130650638777,1069.56967387,3.86293515456,139.739961108,0.000101407578221,0.418983489727
boot_110,0.0144024009637,0.0349370835281,0.138133952412,1085.59841445,3.95379174398,149.957999721,9.60428986149e-05,0.412238215365
boot_111,0.014218877066,0.0356853865116,0.141873093285,811.046554208,3.97566363022,115.065683443,0.000123571829936,0.398450975481
boot_112,0.0143671711301,0.0365335167061,0.145833817788,1161.72671558,3.99178154573,169.41904216,8.48025755957e-05,0.393260009587
boot_113,0.014249163619,0.035756201257,0.152957114402,854.743777981,4.27777865169,130.739141833,0.000108989269924,0.398508877287
boot_114,0.0144145360361,0.0369063551307,0.132999087012,1157.45654401,3.60369065277,153.940663609,9.36369617889e-05,0.390570566643
boot_115,0.0143781183095,0.0347021743568,0.143930337324,1046.30419263,4.14758844341,150.594915389,9.54754566077e-05,0.414329031999
boot_116,0.0142979946113,0.0354969566829,0.12914209933,989.832724424,3.63811750072,127.829076018,0.000111852444347,0.402794942085
boot_117,0.0140659548816,0.0354117357705,0.147922017778,1066.51803609,4.17720325083,157.761499896,8.91596168325e-05,0.397211675044
boot_118,0.0143651797159,0.0369790627571,0.153001453236,939.974789528,4.13751571371,143.817508803,9.98847764468e-05,0.38846792333
boot_119,0.0143910897331,0.0345189260912,0.127827811966,1210.5785807,3.70312250238,154.745611184,9.29983708292e-05,0.416904329383
boot_12,0.0143604190986,0.0353424853998,0.14382420371,832.052671831,4.06944226142,119.66931297,0.000120000848523,0.406321709867
boot_120,0.0143430647774,0.0353952691901,0.144197280618,855.746041527,4.07391394152,123.396252087,0.000116235821873,0.4052254752
boot_121,0.0144238012556,0.0356092398364,0.144067575678,678.385423107,4.04579194444,97.733343282,0.00014758321747,0.405057825495
